cc-d-01.02.03.01,"Ständige Wohnbevölkerung nach Staatsangehörigkeitskategorie, Geschlecht und Gemeinde, am 31.12.2024",,,,,,,,
,Provisorische Jahresergebnisse,,,,,,,,
"Kanton, Bezirk und Gemeinde",Total,,,Schweizer,,,Ausländer 1,,
,Total,Mann,Frau,Total,Mann,Frau,Total,Mann,Frau
......0114 Fischenthal,2665,1366,1299,2205,1132,1073,460,234,226
......0115 Gossau (ZH),10605,5258,5347,8828,4337,4491,1777,921,856
......0116 Grüningen,3885,1938,1947,3279,1607,1672,606,331,275
......0117 Hinwil,11958,5947,6011,9585,4696,4889,2373,1251,1122
......0118 Rüti (ZH),12968,6496,6472,9437,4623,4814,3531,1873,1658
......0119 Seegräben,1460,749,711,1227,617,610,233,132,101
......0120 Wald (ZH),10618,5308,5310,7677,3700,3977,2941,1608,1333
......0121 Wetzikon (ZH),26975,13460,13515,19068,9334,9734,7907,4126,3781
>> Bezirk Horgen,132489,64999,67490,92213,44507,47706,40276,20492,19784
......0131 Adliswil,19887,9957,9930,11730,5718,6012,8157,4239,3918
......0135 Kilchberg (ZH),9479,4679,4800,6338,3062,3276,3141,1617,1524
......0136 Langnau am Albis,8222,4045,4177,5648,2714,2934,2574,1331,1243
......0137 Oberrieden,5391,2634,2757,4070,1960,2110,1321,674,647
......0138 Richterswil,14378,6976,7402,11199,5361,5838,3179,1615,1564
......0139 Rüschlikon,6400,3129,3271,4350,2095,2255,2050,1034,1016
......0141 Thalwil,18510,9037,9473,12666,6059,6607,5844,2978,2866
......0293 Wädenswil,25683,12529,13154,19386,9396,9990,6297,3133,3164
......0295 Horgen,24539,12013,12526,16826,8142,8684,7713,3871,3842
>> Bezirk Meilen,109516,52869,56647,82234,39447,42787,27282,13422,13860
......0151 Erlenbach (ZH),5503,2607,2896,4181,2009,2172,1322,598,724
......0152 Herrliberg,6779,3286,3493,5104,2492,2612,1675,794,881
......0153 Hombrechtikon,9175,4535,4640,7020,3393,3627,2155,1142,1013
......0154 Küsnacht (ZH),15158,7194,7964,10868,5111,5757,4290,2083,2207
......0155 Männedorf,11764,5636,6128,9050,4342,4708,2714,1294,1420
......0156 Meilen,14842,7094,7748,11205,5316,5889,3637,1778,1859
......0157 Oetwil am See,5150,2606,2544,3526,1759,1767,1624,847,777
